,MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|SE3
294,13.01.2023 06:00 - 13.01.2023 07:00,56.09,EUR,
295,13.01.2023 07:00 - 13.01.2023 08:00,85.77,EUR,
296,13.01.2023 08:00 - 13.01.2023 09:00,95.6,EUR,
297,13.01.2023 09:00 - 13.01.2023 10:00,98.23,EUR,
298,13.01.2023 10:00 - 13.01.2023 11:00,92.58,EUR,
299,13.01.2023 11:00 - 13.01.2023 12:00,84.93,EUR,
300,13.01.2023 12:00 - 13.01.2023 13:00,76.53,EUR,
301,13.01.2023 13:00 - 13.01.2023 14:00,71.97,EUR,
302,13.01.2023 14:00 - 13.01.2023 15:00,75.36,EUR,
303,13.01.2023 15:00 - 13.01.2023 16:00,81.82,EUR,
304,13.01.2023 16:00 - 13.01.2023 17:00,85.31,EUR,
305,13.01.2023 17:00 - 13.01.2023 18:00,96.9,EUR,
306,13.01.2023 18:00 - 13.01.2023 19:00,96.2,EUR,
307,13.01.2023 19:00 - 13.01.2023 20:00,91.07,EUR,
308,13.01.2023 20:00 - 13.01.2023 21:00,84.94,EUR,
309,13.01.2023 21:00 - 13.01.2023 22:00,76.89,EUR,
310,13.01.2023 22:00 - 13.01.2023 23:00,76.51,EUR,
311,13.01.2023 23:00 - 14.01.2023 00:00,68.3,EUR,
312,14.01.2023 00:00 - 14.01.2023 01:00,49.71,EUR,
313,14.01.2023 01:00 - 14.01.2023 02:00,44.24,EUR,
314,14.01.2023 02:00 - 14.01.2023 03:00,45.41,EUR,
315,14.01.2023 03:00 - 14.01.2023 04:00,42.25,EUR,
316,14.01.2023 04:00 - 14.01.2023 05:00,41.7,EUR,
317,14.01.2023 05:00 - 14.01.2023 06:00,41.68,EUR,
318,14.01.2023 06:00 - 14.01.2023 07:00,45.1,EUR,
319,14.01.2023 07:00 - 14.01.2023 08:00,53.4,EUR,
320,14.01.2023 08:00 - 14.01.2023 09:00,53.63,EUR,
321,14.01.2023 09:00 - 14.01.2023 10:00,56.89,EUR,
322,14.01.2023 10:00 - 14.01.2023 11:00,66.72,EUR,
323,14.01.2023 11:00 - 14.01.2023 12:00,65.56,EUR,
324,14.01.2023 12:00 - 14.01.2023 13:00,65.39,EUR,
325,14.01.2023 13:00 - 14.01.2023 14:00,62.69,EUR,
326,14.01.2023 14:00 - 14.01.2023 15:00,66.96,EUR,
327,14.01.2023 15:00 - 14.01.2023 16:00,73.97,EUR,
328,14.01.2023 16:00 - 14.01.2023 17:00,75.91,EUR,
329,14.01.2023 17:00 - 14.01.2023 18:00,73.63,EUR,
330,14.01.2023 18:00 - 14.01.2023 19:00,69.51,EUR,
331,14.01.2023 19:00 - 14.01.2023 20:00,62.71,EUR,
332,14.01.2023 20:00 - 14.01.2023 21:00,51.53,EUR,
333,14.01.2023 21:00 - 14.01.2023 22:00,43.68,EUR,
334,14.01.2023 22:00 - 14.01.2023 23:00,40.05,EUR,
335,14.01.2023 23:00 - 15.01.2023 00:00,35.32,EUR,
336,15.01.2023 00:00 - 15.01.2023 01:00,27.4,EUR,
337,15.01.2023 01:00 - 15.01.2023 02:00,27.23,EUR,
338,15.01.2023 02:00 - 15.01.2023 03:00,24.28,EUR,
339,15.01.2023 03:00 - 15.01.2023 04:00,13.0,EUR,
340,15.01.2023 04:00 - 15.01.2023 05:00,7.98,EUR,
341,15.01.2023 05:00 - 15.01.2023 06:00,4.85,EUR,
342,15.01.2023 06:00 - 15.01.2023 07:00,6.05,EUR,
343,15.01.2023 07:00 - 15.01.2023 08:00,10.09,EUR,
344,15.01.2023 08:00 - 15.01.2023 09:00,14.03,EUR,
345,15.01.2023 09:00 - 15.01.2023 10:00,19.07,EUR,
